Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
2.1875000000e-001,4.1794873047e+003,4.2205126953e+003,4.1779487305e+003,4.1851284180e+003,4.2282050781e+003,4.1687177734e+003,4.2271796875e+003,4.1743588867e+003,4.1851284180e+003,4.2512822266e+003,4.1784614258e+003,4.1774360352e+003,4.2235898438e+003,4.1702563477e+003,
2.2656250000e-001,4.1800000000e+003,4.2287177734e+003,4.1815385742e+003,4.1856411133e+003,4.2189741211e+003,4.1661538086e+003,4.2292309570e+003,4.1656411133e+003,4.1846152344e+003,4.2466665039e+003,4.1774360352e+003,4.1800000000e+003,4.2174360352e+003,4.1758974609e+003,
2.3437500000e-001,4.1815385742e+003,4.2338461914e+003,4.1815385742e+003,4.1851284180e+003,4.2497436523e+003,4.1682050781e+003,4.2487177734e+003,4.1805126953e+003,4.1825639648e+003,4.2564101563e+003,4.1784614258e+003,4.1758974609e+003,4.2169228516e+003,4.1738461914e+003,
2.4218750000e-001,4.1810258789e+003,4.2333334961e+003,4.1789741211e+003,4.1779487305e+003,4.2728203125e+003,4.1702563477e+003,4.2487177734e+003,4.1825639648e+003,4.1835898438e+003,4.2471796875e+003,4.1784614258e+003,4.1728203125e+003,4.2097436523e+003,4.1676923828e+003,
2.5000000000e-001,4.1810258789e+003,4.2364101563e+003,4.1825639648e+003,4.1794873047e+003,4.2579487305e+003,4.1682050781e+003,4.2271796875e+003,4.1656411133e+003,4.1846152344e+003,4.2261538086e+003,4.1794873047e+003,4.1764101563e+003,4.1948715820e+003,4.1723076172e+003,
2.5781250000e-001,4.1774360352e+003,4.2400000000e+003,4.1825639648e+003,4.1820512695e+003,4.2579487305e+003,4.1682050781e+003,4.2225639648e+003,4.1656411133e+003,4.1841025391e+003,4.2297436523e+003,4.1851284180e+003,4.1764101563e+003,4.1953847656e+003,4.1743588867e+003,
2.6562500000e-001,4.1800000000e+003,4.2384614258e+003,4.1835898438e+003,4.1779487305e+003,4.2733334961e+003,4.1687177734e+003,4.2328203125e+003,4.1779487305e+003,4.1841025391e+003,4.2492309570e+003,4.1871796875e+003,4.1784614258e+003,4.2046152344e+003,4.1758974609e+003,
2.7343750000e-001,4.1820512695e+003,4.2338461914e+003,4.1851284180e+003,4.1758974609e+003,4.2666665039e+003,4.1676923828e+003,4.2379487305e+003,4.1784614258e+003,4.1841025391e+003,4.2641025391e+003,4.1825639648e+003,4.1794873047e+003,4.1964101563e+003,4.1758974609e+003,
2.8125000000e-001,4.1800000000e+003,4.2307690430e+003,4.1841025391e+003,4.1743588867e+003,4.2497436523e+003,4.1671796875e+003,4.2210258789e+003,4.1692309570e+003,4.1841025391e+003,4.2615385742e+003,4.1830771484e+003,4.1769228516e+003,4.1856411133e+003,4.1748715820e+003,
2.8906250000e-001,4.1784614258e+003,4.2379487305e+003,4.1866665039e+003,4.1743588867e+003,4.2512822266e+003,4.1676923828e+003,4.2025639648e+003,4.1743588867e+003,4.1841025391e+003,4.2471796875e+003,4.1856411133e+003,4.1769228516e+003,4.1958974609e+003,4.1758974609e+003,
